region;section;row_type;level;row_index;description;budget_anterieur;restes_a_realiser_n1;propositions_nouvelles;vote_assemblee;total_budget
Auvergne-Rhone-Alpes;investment_expense;section_header;0;0;DEPENSES D’INVESTISSEMENT;0.00;0.00;3926800000.00;3926800000.00;3926800000.00
Auvergne-Rhone-Alpes;investment_expense;data;0;1;90 Opérations ventilées;0.00;0.00;1564400000.00;1564400000.00;1564400000.00
Auvergne-Rhone-Alpes;investment_expense;data;1;1;- en AP/CP (2);0.00;0.00;1337000000.00;1337000000.00;1337000000.00
Auvergne-Rhone-Alpes;investment_expense;data;1;1;- hors AP/CP (2);0.00;0.00;227400000.00;227400000.00;227400000.00
Auvergne-Rhone-Alpes;investment_expense;data;1;1;Dont opérations pour comptes de tiers;0.00;0.00;0.00;0.00;0.00
Auvergne-Rhone-Alpes;investment_expense;data;0;2;92 Opérations non ventilées;0.00;0.00;2362400000.00;2362400000.00;2362400000.00
Auvergne-Rhone-Alpes;investment_expense;data;0;3;001 Solde exécution invest. reporté;0.00;;0.00;0.00;0.00
Auvergne-Rhone-Alpes;investment_revenue;section_header;0;4;RECETTES D’INVESTISSEMENT;0.00;0.00;3926800000.00;3926800000.00;3926800000.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;5;90 Opérations ventilées;0.00;0.00;501900000.00;501900000.00;501900000.00
Auvergne-Rhone-Alpes;investment_revenue;data;1;5;- Recettes affectées;0.00;0.00;501900000.00;501900000.00;501900000.00
Auvergne-Rhone-Alpes;investment_revenue;data;1;5;- Financement par le tiers de l’opération confiée à la collectivité;0.00;0.00;0.00;0.00;0.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;6;92 Opérations non ventilées (sauf 922-1068);0.00;0.00;2469447000.00;2469447000.00;2469447000.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;7;954 Produit des cessions d'immobilisations;0.00;0.00;0.00;0.00;0.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;8;951 Virement de la section de fonctionnement;0.00;;955453000.00;955453000.00;955453000.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;9;922-1068 Excédents de fonctionnement capitalisés;0.00;;0.00;0.00;0.00
Auvergne-Rhone-Alpes;investment_revenue;data;0;10;001 Solde exécution invest. reporté;0.00;;0.00;0.00;0.00
Auvergne-Rhone-Alpes;operating_expense;section_header;0;11;DEPENSES DE FONCTIONNEMENT;0.00;0.00;5212200000.00;5212200000.00;5212200000.00
Auvergne-Rhone-Alpes;operating_expense;data;0;12;93 Services ventilés;0.00;0.00;2639446000.00;2639446000.00;2639446000.00
Auvergne-Rhone-Alpes;operating_expense;data;1;12;- en AE/CP;0.00;0.00;1357948323.00;1357948323.00;1357948323.00
Auvergne-Rhone-Alpes;operating_expense;data;1;12;- hors AE/CP;0.00;0.00;1281497677.00;1281497677.00;1281497677.00
Auvergne-Rhone-Alpes;operating_expense;data;0;13;94 Services communs non ventilés;0.00;0.00;1617301000.00;1617301000.00;1617301000.00
Auvergne-Rhone-Alpes;operating_expense;data;0;14;953 Virement à la section d'investissement;0.00;;955453000.00;955453000.00;955453000.00
Auvergne-Rhone-Alpes;operating_expense;data;0;15;002 Résultat de fonctionnement reporté;0.00;;0.00;0.00;0.00
Auvergne-Rhone-Alpes;operating_revenue;section_header;0;16;RECETTES DE FONCTIONNEMENT;0.00;0.00;5212200000.00;5212200000.00;5212200000.00
Auvergne-Rhone-Alpes;operating_revenue;data;0;17;93 Services ventilés;0.00;0.00;251160000.00;251160000.00;251160000.00
Auvergne-Rhone-Alpes;operating_revenue;data;0;18;94 Services communs non ventilés;0.00;0.00;4961040000.00;4961040000.00;4961040000.00
Auvergne-Rhone-Alpes;operating_revenue;data;0;19;002 Résultat de fonctionnement reporté;0.00;;0.00;0.00;0.00
