region;section;row_type;level;row_index;description;budget_anterieur;restes_a_realiser_n1;propositions_nouvelles;vote_assemblee;total_budget
Bretagne;investment_expense;section_header;0;0;DEPENSES D’INVESTISSEMENT;0.00;0.00;1277068100.00;1277068100.00;1277068100.00
Bretagne;investment_expense;data;0;1;90 Opérations ventilées;0.00;0.00;709774800.00;709774800.00;709774800.00
Bretagne;investment_expense;data;1;1;- en AP/CP (2);0.00;0.00;708724800.00;708724800.00;708724800.00
Bretagne;investment_expense;data;1;1;- hors AP/CP (2);0.00;0.00;1050000.00;1050000.00;1050000.00
Bretagne;investment_expense;data;1;1;Dont opérations pour comptes de tiers;0.00;0.00;0.00;0.00;0.00
Bretagne;investment_expense;data;0;2;92 Opérations non ventilées;0.00;0.00;567293300.00;567293300.00;567293300.00
Bretagne;investment_expense;data;0;3;001 Solde exécution invest. reporté;0.00;;0.00;0.00;0.00
Bretagne;investment_revenue;section_header;0;4;RECETTES D’INVESTISSEMENT;0.00;0.00;1277068100.00;1277068100.00;1277068100.00
Bretagne;investment_revenue;data;0;5;90 Opérations ventilées;0.00;0.00;217828100.00;217828100.00;217828100.00
Bretagne;investment_revenue;data;1;5;- Recettes affectées;0.00;0.00;217828100.00;217828100.00;217828100.00
Bretagne;investment_revenue;data;1;5;- Financement par le tiers de l’opération confiée à la collectivité;0.00;0.00;0.00;0.00;0.00
Bretagne;investment_revenue;data;0;6;92 Opérations non ventilées (sauf 922-1068);0.00;0.00;1054450000.00;1054450000.00;1054450000.00
Bretagne;investment_revenue;data;0;7;954 Produit des cessions d'immobilisations;0.00;0.00;4790000.00;4790000.00;4790000.00
Bretagne;investment_revenue;data;0;8;951 Virement de la section de fonctionnement;0.00;;0.00;0.00;0.00
Bretagne;investment_revenue;data;0;9;922-1068 Excédents de fonctionnement capitalisés;0.00;;0.00;0.00;0.00
Bretagne;investment_revenue;data;0;10;001 Solde exécution invest. reporté;0.00;;0.00;0.00;0.00
Bretagne;operating_expense;section_header;0;11;DEPENSES DE FONCTIONNEMENT;0.00;0.00;1671925200.00;1671925200.00;1671925200.00
Bretagne;operating_expense;data;0;12;93 Services ventilés;0.00;0.00;1042340762.00;1042340960.00;1042340960.00
Bretagne;operating_expense;data;1;12;- en AE/CP;0.00;0.00;836245762.00;836245960.00;836245960.00
Bretagne;operating_expense;data;1;12;- hors AE/CP;0.00;0.00;206095000.00;206095000.00;206095000.00
Bretagne;operating_expense;data;0;13;94 Services communs non ventilés;0.00;0.00;629164448.00;629164250.00;629164250.00
Bretagne;operating_expense;data;0;14;953 Virement à la section d'investissement;0.00;;0.00;0.00;0.00
Bretagne;operating_expense;data;0;15;002 Résultat de fonctionnement reporté;0.00;;0.00;0.00;0.00
Bretagne;operating_revenue;section_header;0;16;RECETTES DE FONCTIONNEMENT;0.00;0.00;1671925200.00;1671925200.00;1671925200.00
Bretagne;operating_revenue;data;0;17;93 Services ventilés;0.00;0.00;122489038.00;122489038.00;122489038.00
Bretagne;operating_revenue;data;0;18;94 Services communs non ventilés;0.00;0.00;1549436162.00;1549436162.00;1549436162.00
Bretagne;operating_revenue;data;0;19;002 Résultat de fonctionnement reporté;0.00;;0.00;0.00;0.00
